text,sentiment,hate_speech
"Россия - уникальная страна. Только здесь даже лидер профсоюзов выступает за то, чтобы люди получали меньше https://t.co/2xBNrLfwvD",0,0
"'@Shulz Он подает пример всем сельхозяйственникам, виноградники в массы! https://t.co/DhXWfbR7cO'",0,0
'@Fake_MIDRF Какой всепрощающий и милостивый Чаплин. Буквальное воплощение христианских заповедей',1,0
"Усманов получил высший орден Италии,за реставрацию множествf объектов. В России объектов архитектуры, требующих реставрации, конечно же нет https://t.co/tcKriOFiP5",-1,0
"Но по статье идет всё равно паренек, ловивший покемонов в храме.  Геббельс одобряет https://t.co/wLgope9JHd",0,0
"'- Надо сделать так, как будто материнский капитал можно получить, но на самом деле нет - Ни слова больше! https://t.co/t6bnrl16EL'",0,0
https://t.co/6jeNkxYnZR,0,0
'@Fake_MIDRF Страна контрастов https://t.co/ehkvimmzOp',0,0
Отстраненная от власти президент Южной Кореи освободила резиденцию.  А у нас даже о Димоне на заикнулись https://t.co/tUpIcUEsUc,0,0
"Наверняка, талантливые парни! И конфликта интересов вообще нет. https://t.co/lqp1PzA4Hj",1,0
"""Самый могущественный человек в мире"" название фильма CNN  Не могу разобраться. Это разоблачение или пропаганда?",0,0
'@Fake_MIDRF И главного закона страны тоже как будто бы нет https://t.co/KNhe9xYJJt',0,0
"Ну, а пока Россия встает с колен, моряки травят себя спиртом https://t.co/kZOKlSVx9C",-1,0
'@Shulz И сапоги обещал в Индийском океане мыть. Плохо он свои предвыборные обещания исполняет',-1,1
"В 2017 даже скучаешь по временам, когда новостью была Кончита Вурст, а не Шурыгина, миллионы Димона и тюремный срок за ""чувства"" верующих",0,0
Конкурс на достройку новой сцены МДТ выиграла компания Бориса Ротенберга. Она же была единственным участником.  Конкуренция- это круто!,0,0
Когда выиграл тендер на реставрацию https://t.co/nXfzmd874C,0,0
"""В марте следующего года въеду в Кремль, я вас буду расстреливать и вешать, негодяи и подлецы!"" Жириновский   УК РФ ст. 119 Угроза убийством",-1,3
"Байкал- самое глубокое озеро на планете, крупнейший природный резервуар пресной воды  И этот ресурс просираем https://t.co/F5kd4GmuyW",0,0
Самое целевое использование средств зафиксировано на Кубани https://t.co/XfrfkzD29j,0,0
"Решение о вхождении Крыма в состав РФ считают верным 97% россиян; 78 % считает, что Крым принес только пользу  Где польза, где?  @Fake_MIDRF https://t.co/FzKdGgavum",-1,1
"Дмитрий Медведев, на днях заболевший и пропустивший из-за этого заседание кабмина, обнаружился на горнолыжном курорте https://t.co/3AdpIpz7BV",0,0
"63582 сайта заблокировано Роскомнадзором.  И да, у нас по-прежнему нет цензуры",0,0
Ничего не меняется https://t.co/EJ1NZ3Nejt,0,0
Найден новый виновник разрушения российской инфраструктуры https://t.co/Qwx99t2dWu,-1,1
После века жизни и 7 пересаженных сердец скончался Дэвид Рокфеллер. Общий размер сделанных им пожертвований более 900 миллионов долларов https://t.co/QK9HA5PZfR,0,0
"Казака Евгения Березовского, избившего оппозиционного активиста Евгения Гришина...амнистировали https://t.co/DjIGjNoiHi",0,1
"Жители Струнино недовольны владельцем магазина, бесплатно раздающим хлеб  ""Бесплатно? Это явно происки Госдепа!!"" https://t.co/jGDECs6bBL",-1,0
"На месте разлива нефтепродуктов в Амуре образовалось новое пятно.  Не экологическое развитие, а сплошная деградация. https://t.co/3qNFZzJt17",-1,1
"Глава Минздрава РФ плачет после заседаний правительства  ""Золотой ты человек! Все о России думаешь!""",0,0
Ученик 10-го класса российской школы сагитировал одноклассников отказаться сдавать деньги учителям.  Теперь он подвергается травле,-1,0
"Преподавателя вуза в Красноярске уволили за то, что он показал на занятии фильм Навального о Медведеве.  На мужчину донёс студент.",0,0
Британская полиция. Такое вообще бывает? https://t.co/wNpNpHyNMC,0,0
"""Успехам в бизнесе я благодарен дзюдо. Спорт закаляет"" Игорь Чайка, предприниматель и бизнесмен.  Результаты спорта налицо https://t.co/Z12v3wmcSu",-1,0
"Депутат от КПРФ Рашкин попросил СК проверить ""империю Медведева""  Возможно, в Датском Королевстве не все прогнило. И остались небезразличные https://t.co/GJkDNQMVg6",0,1
"Госдума освободила от уплаты налогов в России бизнесменов под санкциями  А можно тоже самое, только для простых смертных?",0,0
Самые искренние патриоты https://t.co/FoUyl3rhlh,0,0
"'@Shulz Вспоминается Клан Сопрано "" И когда я захотел выйти, они втащили меня обратно"" https://t.co/2gKJwsmrqq'",0,0
"Сбербанк опроверг информацию о том, что сотрудницы украли у клиента деньги на покупку Ferrari https://t.co/arwwEXYq4e",0,0
"Депутаты задумались о повышении предельного возраста призыва в армию до 30 лет  Чего мелочиться- давайте 25 лет службы, как при Петре Первом",-1,1
"Бывший мэр Нью-Йорка Майкл Блумберг едет на работу.  Гнилы демократические ценности, ехать в метро как простой смертный https://t.co/59DpGjSOb2",-1,3
Росавтодор выделил из бюджета почти 60 млн рублей на фильм о российских дорогах https://t.co/T53pzEwtSV,0,0
Генпрокуратура нашла завышенные цены на жизненно важные лекарства по всей России  Россия- это Спарта. В Спарте не болеют,-1,2
В Кремле назвали провокацией призывы идти на митинг 26 марта  В адекватном мире- это зовётся свободой выбора и голоса,-1,0
Устроим им 17 год,0,0
Томск #ДимонОтветит #26марта https://t.co/VwZ5VnrJKN,0,0
Участники митинга во Владивостоке выбрали хорошую тактику: во время нападения полицейских они крепко взялись друг за друга https://t.co/Xi05BgRtZ5,1,0
"""В Соль-Илецком округе многодетная мать украла и съела собаку""  Новости успешной страны",0,0
Напомнило https://t.co/RD3AMR1PEU,0,0
"А вот уважительное отношение к человеку полиции незнакомо.   Заломать,скрутить, доставить в СИЗО и ни за что не отходить от плана. https://t.co/vRtY4QmSKH",-1,2
Don't worry be happy  Выдержка высший класс https://t.co/yPQCq7bZol,0,0
"'@Fake_MIDRF  У людей всё равно ""царь хороший, а бояре плохие, он просто об этом не знает""'",-1,2
Пост- дело крайне измытывающее и утомительные. Некоторые церковники не выдерживают и начинают пухнуть от голода https://t.co/0yoDt6H1wV,0,0
"В Красноярске строительство храма на Стрелке оценили в 1,2 млрд рублей  БОЛЬШЕ, БОЛЬШЕ ХРАМОВ! https://t.co/QzdKG1hbrG",-1,1
#ГендальфДержись https://t.co/SaBbc7VrjN,0,0
"А пока у нас митинги в Англии реинкарнация короля Артура, бывший байкер, а ныне предводитель друидов, проводит обряды возле Стоунхенджа https://t.co/DMQ5uWq0xl",0,0
19:37,0,0
"Fox News сообщил о работе Трампа в выходные, но журналисты нашли его на поле для гольфа  Мне кажется, у Медведева нашелся сводный брат",0,0
Открыто новое достижение- выжил в России https://t.co/TdsegEILVq,0,0
"Митинговал ты, а страдает Пушкин https://t.co/bNuWIED5qw",0,0
"'@max_katz Полицейское государство, в котором не действует высший закон. Вполне открыто власть забила на Конституцию'",-1,2
"Вы будете удивлены, но здесь живет семья! Это, наверное, новый урбанистический стиль https://t.co/Y5nx2ScbPo",0,0
